"Item Status","Artikel Status"
"Offen","Offen"
"Automatische Bestellung","Automatische Bestellung"
"Bestellung abgeschlossen","Bestellung abgeschlossen"
"Order item status updated successfully.","Artikel-Status erfolgreich aktualisiert."
"Invalid parameters provided.","Ungültige Parameter angegeben."
"An error occurred while updating the item status.","Ein Fehler ist beim Aktualisieren des Artikel-Status aufgetreten."
"Success","Erfolgreich"
"Error","Fehler"
"Product","Produkt"
"Price","Preis"
"Qty","Menge"
"Subtotal","Zwischensumme"
"SKU: %1","Artikelnummer: %1"
